run_id,suite,test_case_id,priority,precondition,steps,expected_result,status,actual_result,defect_id,defect_link,evidence_link,tester,test_date,environment,device,app_version,build_sha,notes
RC-20260326-debug-ios,"Auth, Session, Identity",AUTH-001,P0,user có member đã claim,"1) Mở app -> login phone OTP.
2) Nhập OTP đúng.
3) Quan sát landing shell.","Login thành công, vào đúng member + clan context.",FAIL,PASS via Release Suite · Auth + Role Matrix [AUTH-001][P0] phone OTP flow + privacy gate + role matrix | FAIL via Release Suite · Auth + Role Matrix [AUTH-001][P0] validate all 6 debug scenarios map to expected session context (Test failed. See exception logs above. The test description was: [AUTH-001][P0] validate all 6 debug scenarios map to expected session context),,,/Users/hunpeo97/Desktop/Workspace/Coder/gia-pha/mobile/befam/artifacts/e2e-debug-ios-machine.jsonl,hunpeo97,2026-03-26,debug,ios:165ECA74-B67B-45DA-B8A8-B8FC8DEB998B,1.0.0+1,2dc4f42,auto-filled from integration_test machine output
RC-20260326-debug-ios,"Auth, Session, Identity",AUTH-002,P0,user có OTP nhưng nhập sai,"1) Nhập OTP sai 3 lần.
2) Theo dõi thông báo lỗi.","Báo lỗi rõ ràng, không tạo session rác.",NOT_RUN,,,,,hunpeo97,2026-03-26,debug,ios:165ECA74-B67B-45DA-B8A8-B8FC8DEB998B,1.0.0+1,2dc4f42,
RC-20260326-debug-ios,"Auth, Session, Identity",AUTH-003,P0,child identifier hợp lệ,"1) Chọn child login.
2) Nhập mã trẻ em + OTP phụ huynh.
3) Hoàn tất flow.","Resolve đúng parent phone + member context, không lệch clan.",PASS,PASS via Release Suite · Auth + Role Matrix [AUTH-003][P0] child-code OTP flow goes to shell,,,/Users/hunpeo97/Desktop/Workspace/Coder/gia-pha/mobile/befam/artifacts/e2e-debug-ios-machine.jsonl,hunpeo97,2026-03-26,debug,ios:165ECA74-B67B-45DA-B8A8-B8FC8DEB998B,1.0.0+1,2dc4f42,auto-filled from integration_test machine output
RC-20260326-debug-ios,"Auth, Session, Identity",AUTH-004,P0,số điện thoại tồn tại profile chưa claim,"1) Login phone.
2) Thực hiện claim flow.
3) Reload app.","members/{id}.authUid được gán đúng, session restore ổn định.",NOT_RUN,,,,,hunpeo97,2026-03-26,debug,ios:165ECA74-B67B-45DA-B8A8-B8FC8DEB998B,1.0.0+1,2dc4f42,
RC-20260326-debug-ios,"Auth, Session, Identity",AUTH-005,P0,user đa clan,"1) Login thành công.
2) Mở menu ba chấm -> Switch clan.
3) Chọn clan khác.","Claims/session đổi đúng clan, data toàn app đổi theo clan mới.",NOT_RUN,,,,,hunpeo97,2026-03-26,debug,ios:165ECA74-B67B-45DA-B8A8-B8FC8DEB998B,1.0.0+1,2dc4f42,
RC-20260326-debug-ios,"Auth, Session, Identity",AUTH-006,P1,trusted device bật,"1) Login trên thiết bị A.
2) Logout/login lại trên A.
3) Thử trên thiết bị B.","Device trust hoạt động đúng, không bypass OTP trái phép.",NOT_RUN,,,,,hunpeo97,2026-03-26,debug,ios:165ECA74-B67B-45DA-B8A8-B8FC8DEB998B,1.0.0+1,2dc4f42,
RC-20260326-debug-ios,"Auth, Session, Identity",AUTH-007,P0,số phone format khác nhau,"1) Thử login với biến thể +84, 0, có khoảng trắng.
2) So khớp profile.","Normalize nhất quán về E.164, mapping đúng một profile.",NOT_RUN,,,,,hunpeo97,2026-03-26,debug,ios:165ECA74-B67B-45DA-B8A8-B8FC8DEB998B,1.0.0+1,2dc4f42,
RC-20260326-debug-ios,"Auth, Session, Identity",AUTH-008,P1,token hết hạn,"1) Để phiên cũ hết hạn/thu hồi.
2) Mở lại app.","App yêu cầu xác thực lại, không treo UI.",NOT_RUN,,,,,hunpeo97,2026-03-26,debug,ios:165ECA74-B67B-45DA-B8A8-B8FC8DEB998B,1.0.0+1,2dc4f42,
RC-20260326-debug-ios,"Auth, Session, Identity",AUTH-009,P0,user chưa có clan/member,"1) Login user mới.
2) Vào Home/Tree/Profile.","Không crash, hiển thị empty-state có CTA rõ ràng để tạo/join clan.",PASS,PASS via Release Suite · Auth + Role Matrix [AUTH-009][CTX-003][P0] unlinked user is stable and routed to discovery,,,/Users/hunpeo97/Desktop/Workspace/Coder/gia-pha/mobile/befam/artifacts/e2e-debug-ios-machine.jsonl,hunpeo97,2026-03-26,debug,ios:165ECA74-B67B-45DA-B8A8-B8FC8DEB998B,1.0.0+1,2dc4f42,auto-filled from integration_test machine output
RC-20260326-debug-ios,"Auth, Session, Identity",AUTH-010,P1,app kill/reopen,"1) Login thành công.
2) Đóng hẳn app rồi mở lại.",Session restore đúng; không nhảy sai màn hình.,NOT_RUN,,,,,hunpeo97,2026-03-26,debug,ios:165ECA74-B67B-45DA-B8A8-B8FC8DEB998B,1.0.0+1,2dc4f42,
